epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.183,1.74449,3.63267,1.63557,0.01129,0.46129,0.28007,0.14643,1.58826,3.76679,1.58086,0.00015554,0.00015554,0.00015554
2,224.087,1.63749,2.43962,1.49723,0.0105,0.51441,0.28927,0.14555,1.49483,3.63654,1.50359,0.000315811,0.000315811,0.000315811
3,334.902,1.5325,2.16475,1.40636,0.9782,0.10554,0.2372,0.11733,1.67812,3.36867,1.63184,0.000469482,0.000469482,0.000469482
4,456.341,1.56535,1.9876,1.44562,0.89761,0.09032,0.17461,0.07812,1.9876,3.48647,2.0434,0.000616554,0.000616554,0.000616554
5,569.37,1.50377,1.9348,1.40941,0.84478,0.18608,0.22257,0.07775,1.99393,3.23719,2.04856,0.000757027,0.000757027,0.000757027
6,677.842,1.53323,1.90903,1.43138,0.80735,0.12946,0.30699,0.11209,1.98258,3.14577,2.08883,0.0008909,0.0008909,0.0008909
7,787.066,1.49726,1.80217,1.36585,0.9685,0.12903,0.27306,0.10834,2.1702,3.08527,2.29567,0.000979013,0.000979013,0.000979013
8,895.862,1.48349,1.74438,1.36921,0.43506,0.37052,0.43537,0.1966,1.68021,2.45007,1.67673,0.000957015,0.000957015,0.000957015
9,1004.45,1.54092,1.70738,1.40714,0.64565,0.34057,0.43856,0.16736,1.73123,2.66207,1.75528,0.000935018,0.000935018,0.000935018
10,1113.56,1.49165,1.68845,1.40946,0.34363,0.51281,0.46784,0.22043,1.85682,2.37476,1.93043,0.00091302,0.00091302,0.00091302
11,1221.94,1.4211,1.588,1.37596,0.41237,0.59654,0.5893,0.25357,1.72433,2.29732,1.72556,0.000891022,0.000891022,0.000891022
12,1329.91,1.45965,1.56753,1.38826,0.31316,0.65398,0.5792,0.24145,1.58849,2.54816,1.63196,0.000869024,0.000869024,0.000869024
13,1437.73,1.40678,1.4953,1.32695,0.40989,0.679,0.63639,0.2669,1.61708,2.1028,1.59889,0.000847026,0.000847026,0.000847026
14,1545.63,1.33225,1.40324,1.29736,0.51463,0.70864,0.6547,0.2613,1.58358,1.9667,1.57723,0.000825029,0.000825029,0.000825029
15,1653.11,1.44789,1.45999,1.34288,0.51701,0.61439,0.56308,0.23268,1.5562,1.93379,1.50181,0.000803031,0.000803031,0.000803031
16,1761.09,1.40315,1.45316,1.32314,0.59927,0.63851,0.5973,0.22374,1.6655,2.03753,1.62749,0.000781033,0.000781033,0.000781033
17,1868.8,1.40543,1.39186,1.34037,0.53114,0.42559,0.51033,0.22094,1.62677,1.84325,1.61719,0.000759035,0.000759035,0.000759035
18,1978.12,1.34033,1.34892,1.29255,0.56859,0.75025,0.64195,0.26016,1.62489,1.85638,1.61294,0.000737037,0.000737037,0.000737037
19,2087.11,1.34302,1.30119,1.29889,0.52694,0.57441,0.60867,0.28029,1.6399,1.68999,1.6105,0.00071504,0.00071504,0.00071504
20,2194.88,1.36138,1.29259,1.3076,0.64545,0.58873,0.60953,0.24804,1.73837,1.79627,1.65888,0.000693042,0.000693042,0.000693042
21,2303.65,1.34004,1.26906,1.27369,0.60161,0.71659,0.72708,0.31118,1.59958,1.62089,1.54323,0.000671044,0.000671044,0.000671044
22,2413.17,1.27804,1.25361,1.26207,0.74975,0.59808,0.70264,0.29873,1.55375,1.61509,1.5505,0.000649046,0.000649046,0.000649046
23,2522,1.34631,1.28162,1.28551,0.59426,0.61153,0.59999,0.24502,1.66733,1.81937,1.60675,0.000627048,0.000627048,0.000627048
